timestamp,cycle,connection,event_type,value_ms,status_code,details
1773951775.917882,1,alice-bob,KEY_AVAILABILITY,1.0000,200,qkd_fetch_ms=792.43
1773951775.918537,1,alice-bob,QKD_FETCH,792.4290,200,success
1773951775.919464,1,alice-bob,PQC_GEN,0.5536,200,ML-KEM-768
1773951775.919969,1,alice-bob,HKDF_MIX,0.2890,200,hybrid_qkd_pqc
1773951775.920148,1,alice-bob,HYBRIDIZATION_OVERHEAD,793.2715,200,qkd=792.43|pqc=0.55|hkdf=0.29|mode=hybrid_qkd_pqc
1773951775.924828,1,alice-bob,PUSH_KEY,3.8054,500,target=alice
1773951775.928725,1,alice-bob,PUSH_KEY,3.7541,500,target=bob
1773951840.695040,2,alice-bob,KEY_AVAILABILITY,1.0000,200,qkd_fetch_ms=984.19
1773951840.695696,2,alice-bob,QKD_FETCH,984.1890,200,success
1773951840.696629,2,alice-bob,PQC_GEN,0.5758,200,ML-KEM-768
1773951840.697065,2,alice-bob,HKDF_MIX,0.2456,200,hybrid_qkd_pqc
1773951840.697183,2,alice-bob,HYBRIDIZATION_OVERHEAD,985.0104,200,qkd=984.19|pqc=0.58|hkdf=0.25|mode=hybrid_qkd_pqc
1773951840.876281,2,alice-bob,PUSH_KEY,178.4225,200,target=alice
1773951841.038954,2,alice-bob,PUSH_KEY,162.4963,200,target=bob
1773951843.328010,2,alice-bob,TUNNEL_ESTABLISH,199.4071,200,success
1773951843.328271,2,alice-bob,E2E_REKEY_LATENCY,2630.1527,200,success
